"Visitor arrivals by country of residence and travel mode (Monthly)","","","","","","","","",""
"","Australia","China, People's Republic of","Japan","Korea, Republic of","Germany","United Kingdom","Canada","United States of America","TOTAL ALL COUNTRIES OF RESIDENCE"
" ","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES"
"1999M08",40755,1560,12402,3107,1391,7917,1547,8944,104026
"1999M09",49036,2106,9308,3003,1859,8567,1521,10049,114283
"1999M10",41580,2324,9898,4256,4662,13762,2646,16800,132888
"1999M11",44954,2520,17668,5670,7756,21014,3906,18620,168924
"1999M12",69680,3312,15536,6624,6608,19968,4448,23104,205392
"2000M01",45713,2227,13362,9588,7191,22134,4080,20723,167093
"2000M02",48465,3675,16425,5475,7980,30930,4575,25305,192765
"2000M03",49020,2175,13635,5715,4965,18630,3555,19050,152850
"2000M04",51705,2280,10800,4410,2925,15360,2325,14670,143985
"2000M05",32956,2640,8789,3575,1683,7865,1276,10329,99022
"2000M06",34800,2220,6648,3768,1104,7416,1164,13236,97464
"2000M07",43530,2835,12900,7350,1710,9915,1620,16455,130890
"2000M08",44520,2646,13874,4438,1498,9926,1400,10696,117432
"2000M09",51885,1635,8940,2325,1980,8100,1275,8385,113715
"2000M10",46512,2768,10160,4480,5328,15040,2736,17472,146560
"2000M11",47984,3760,19248,7280,8304,21648,4256,18992,182144
"2000M12",76772,4641,16592,8177,6783,33286,4709,20468,242845
"2001M01",52440,5640,16000,11340,7720,29420,4820,18200,197660
"2001M02",52088,4471,17374,6953,9265,32079,5338,25687,199801
"2001M03",57545,3621,16184,6562,5542,19873,4471,20961,176936
"2001M04",55709,4131,12104,5780,2618,13991,2346,13515,153204
"2001M05",39026,3692,10075,4693,1703,8216,1651,10101,110942
"2001M06",43316,3055,7826,5239,1027,7865,1222,13754,112229
"2001M07",49708,5015,12478,10285,1819,11492,1887,14892,144364
"2001M08",54120,4575,15540,6810,1680,10110,1740,11670,136815
"2001M09",58095,4095,9735,5520,2250,9255,1530,8250,131175
"2001M10",46835,4471,8177,5984,5083,14314,2635,14042,141967
"2001M11",47190,4815,9975,6900,7485,21150,4005,16470,164520
"2001M12",74477,5593,13617,11101,6290,33881,5049,19839,239768
"2002M01",50673,5985,14469,14238,6279,32403,6279,25200,204645
"2002M02",52309,8993,17374,8466,7684,35088,5661,25330,212041
"2002M03",62388,5328,18126,8262,5364,28872,4806,23058,203868
"2002M04",47260,6052,13430,7973,2465,13141,2159,11492,143718
"2002M05",39984,5586,10584,5698,1274,9436,1568,9982,118244
"2002M06",41210,4602,6838,6643,884,8944,1209,14573,115076
"2002M07",54247,6256,13311,10897,1887,11696,1972,14722,152388
"2002M08",47584,5696,14656,8000,1504,10512,1568,11344,133104
"2002M09",54555,6390,11025,6705,2250,10470,1545,9570,135930
"2002M10",48888,6012,15210,9576,4716,16488,3168,15876,162252
"2002M11",50652,7794,19224,11898,7704,23616,4554,20502,198198
"2002M12",82720,7840,19320,11580,6940,36320,5180,23640,265600
"2003M01",53199,7682,15732,18262,7176,35650,5819,24702,220777
"2003M02",57312,10080,16362,9972,8226,38448,6102,26118,222102
"2003M03",60743,5776,17024,8113,5415,25308,4826,23275,193743
"2003M04",60544,4304,11088,5088,2496,19360,2160,12608,150272
"2003M05",41067,1209,6058,4407,1963,10868,1612,10127,102752
"2003M06",43956,1672,4378,6534,913,10780,1408,15356,111716
